CID,f_inhibition_at_50_uM,activity,MaxAbsEStateIndex
LON-WEI-4d77710c-71,37.4802980422974,0,10.634340425236058
LON-WEI-4d77710c-73,97.7358856201172,1,9.481501865122826
LON-WEI-4d77710c-74,80.7028732299805,1,12.538324713482888
LON-WEI-4d77710c-75,94.905216217041,1,12.475490835222976
LON-WEI-4d77710c-76,96.65601348876949,1,5.772254818594106
MAT-POS-02ae579f-1,0.0077025,0,13.750736055128868
MAT-POS-02ae579f-2,2.287651,0,11.889834971025447
LOR-NOR-f9b26152-1,3.0164465,0,13.428796296296294
MAT-POS-2492181e-1,-3.21618747711182,0,12.165979203409758
MAT-POS-2492181e-4,-1.58253458142281,0,12.680032321054735
MAT-POS-2492181e-5,8.355697154998781,0,12.105273679377596
MAT-POS-2492181e-6,-1.6144834756851203,0,12.71339316270234
MAT-POS-b5746674-34,12.5111818313599,0,12.41825593663391
MAT-POS-b5746674-36,-2.87965911626816,0,12.718076499118164
MAT-POS-b5746674-37,0.16826409101486198,0,13.096755007558578
MAT-POS-b5746674-38,0.922257423400879,0,13.051803350970015
MAT-POS-b5746674-42,22.308838844299306,0,12.979626322751322
MAT-POS-b5746674-78,7.56123530864716,0,13.70559377735306
MAT-POS-b5746674-97,1.91693288087845,0,12.423645474795366
MAT-POS-b5746674-98,1.3908412456512498,0,12.343905546046601
MAT-POS-b5746674-100,3.7720979452133196,0,12.667690534223272
MAT-POS-b5746674-101,0.973375886678696,0,12.981149848828421
MAT-POS-b5746674-102,-3.2545260190963705,0,12.798601106785634
MAT-POS-b5746674-107,3.4334397315979,0,13.022039749171784
MAT-POS-b5746674-108,0.9265176057815552,0,12.809929924568387
MAT-POS-b5746674-109,-1.81469655036926,0,12.667945856656413
MAT-POS-ea426761-10,32.4664525985718,0,12.222891648678534
MAT-POS-ea426761-13,90.432373046875,1,11.74307854623331
MAT-POS-ea426761-45,42.1874332427979,0,12.361436820838426
LON-WEI-2e27a2e5-2,-6.337255,0,13.922966780752448
MAT-POS-af71705c-1,-0.72719225,0,12.081903546172574
MAT-POS-af71705c-2,5.448779,0,12.761459264855418
JOH-UNI-591f77bd-1,1.772847275,0,12.296903817082386
EDJ-MED-0e996074-1,2.1527435,0,12.575650982615269
MAT-POS-3d050446-1,14.209620000000001,0,12.734523951377303
LOR-NOR-30067bb9-1,37.262335,0,11.403468285462331
LOR-NOR-30067bb9-2,0.0383509,0,12.191162131519274
LOR-NOR-30067bb9-3,3.4707574999999995,0,11.984811261970355
LOR-NOR-30067bb9-4,-0.70654175,0,12.272082860922149
LOR-NOR-30067bb9-5,5.6538095,0,12.063684369983072
LOR-NOR-30067bb9-6,3.6403865,0,12.267341348576467
LOR-NOR-30067bb9-7,0.559038305,0,12.41284667107584
LOR-NOR-30067bb9-8,-1.4204584999999998,0,12.12545493197279
LOR-NOR-30067bb9-9,-0.84077,0,12.648876921138823
LOR-NOR-30067bb9-10,-0.39088455,0,14.005588033824642
LOR-NOR-30067bb9-11,-2.3821817000000003,0,12.163843458679766
LOR-NOR-30067bb9-12,1.27590535,0,11.991120086923658
LOR-NOR-30067bb9-13,-2.9249945,0,11.833192449819435
LOR-NOR-30067bb9-15,-5.3750269999999984,0,11.433055555555557
LOR-NOR-30067bb9-16,-1.219854,0,11.81315617913832
LOR-NOR-30067bb9-17,-2.0886498,0,12.318599300831444
LOR-NOR-30067bb9-18,-2.395457,0,11.874694822373394
MAT-POS-c9973a83-1,48.298705,0,12.022221749811035
JAG-UCB-47403a7c-1,-2.4054615000000004,0,12.577945011337867
COM-UCB-8c7d23dc-1,-3.69242,0,13.342105689357671
COM-UCB-8c7d23dc-6,-5.3573265,0,12.580383361678006
COM-UCB-8c7d23dc-7,-2.9704775000000003,0,12.450006684032656
COM-UCB-8c7d23dc-12,-4.980233999999999,0,12.557416855631141
COM-UCB-8c7d23dc-13,-3.070475,0,14.15864662068531
COM-UCB-8c7d23dc-15,9.0147005,0,12.585725938523558
COM-UCB-8c7d23dc-16,-5.2087325,0,12.783816220856266
COM-UCB-8c7d23dc-18,6.1040345,0,12.757389928193495
