Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,crystal,12,32,1,-7.1,5.109,2
Vina,A,crystal,13,32,1,-7.1,5.262,2
Vina,A,crystal,14,32,1,-7.0,6.209,2
Vina,A,crystal,15,32,1,-7.0,5.143,2
Vina,A,crystal,16,32,1,-7.0,4.990,2
Vina,A,crystal,17,32,1,-7.0,4.597,2
Vina,A,crystal,18,32,1,-7.0,4.683,2
Vina,A,crystal,19,32,1,-7.0,5.535,2
Vina,A,crystal,20,32,1,-6.9,5.806,2
Vina,A,crystal,1,32,1,-7.5,4.131,3
Vina,A,crystal,2,32,1,-7.4,5.691,3
Vina,A,crystal,3,32,1,-7.4,5.349,3
Vina,A,crystal,4,32,1,-7.3,4.560,3
Vina,A,crystal,5,32,1,-7.3,4.877,3
Vina,A,crystal,6,32,1,-7.3,6.086,3
Vina,A,crystal,7,32,1,-7.2,4.858,3
Vina,A,crystal,8,32,1,-7.1,4.757,3
Vina,A,crystal,9,32,1,-7.1,4.608,3
Vina,A,crystal,10,32,1,-7.0,4.663,3
Vina,A,crystal,11,32,1,-7.0,6.285,3
Vina,A,crystal,12,32,1,-7.0,4.600,3
Vina,A,crystal,13,32,1,-7.0,5.626,3
Vina,A,crystal,14,32,1,-7.0,6.151,3
Vina,A,crystal,15,32,1,-7.0,3.397,3
Vina,A,crystal,16,32,1,-6.9,4.091,3
Vina,A,crystal,17,32,1,-6.9,4.997,3
Vina,A,crystal,18,32,1,-6.9,6.414,3
Vina,A,crystal,19,32,1,-6.9,4.599,3
Vina,A,crystal,20,32,1,-6.9,4.484,3
Vina,A,crystal,1,32,3,-6.9,6.500,1
Vina,A,crystal,2,32,3,-6.7,5.879,1
Vina,A,crystal,3,32,3,-6.6,5.032,1
Vina,A,crystal,4,32,3,-6.5,4.508,1
Vina,A,crystal,5,32,3,-6.5,4.666,1
Vina,A,crystal,6,32,3,-6.5,4.347,1
Vina,A,crystal,7,32,3,-6.4,6.222,1
Vina,A,crystal,8,32,3,-6.3,5.029,1
Vina,A,crystal,9,32,3,-6.3,5.346,1
Vina,A,crystal,10,32,3,-6.2,6.781,1
Vina,A,crystal,11,32,3,-6.2,4.793,1
Vina,A,crystal,12,32,3,-6.1,5.372,1
Vina,A,crystal,13,32,3,-6.1,5.328,1
Vina,A,crystal,14,32,3,-6.1,4.982,1
Vina,A,crystal,15,32,3,-6.1,5.149,1
Vina,A,crystal,16,32,3,-6.1,4.600,1
Vina,A,crystal,17,32,3,-6.1,5.753,1
Vina,A,crystal,18,32,3,-6.0,4.730,1
Vina,A,crystal,19,32,3,-6.0,6.767,1
Vina,A,crystal,20,32,3,-6.0,4.982,1
Vina,A,crystal,1,32,3,-7.2,6.701,2
Vina,A,crystal,2,32,3,-6.8,5.427,2
Vina,A,crystal,3,32,3,-6.6,5.979,2
Vina,A,crystal,4,32,3,-6.6,5.954,2
Vina,A,crystal,5,32,3,-6.6,5.309,2
Vina,A,crystal,6,32,3,-6.6,5.060,2
Vina,A,crystal,7,32,3,-6.5,4.848,2
Vina,A,crystal,8,32,3,-6.5,4.621,2
Vina,A,crystal,9,32,3,-6.4,5.165,2
Vina,A,crystal,10,32,3,-6.4,5.745,2
Vina,A,crystal,11,32,3,-6.4,5.215,2
Vina,A,crystal,12,32,3,-6.3,6.226,2
Vina,A,crystal,13,32,3,-6.3,5.160,2
Vina,A,crystal,14,32,3,-6.3,6.031,2
Vina,A,crystal,15,32,3,-6.3,4.792,2
Vina,A,crystal,16,32,3,-6.2,6.549,2
Vina,A,crystal,17,32,3,-6.2,4.265,2
Vina,A,crystal,18,32,3,-6.2,5.469,2
Vina,A,crystal,19,32,3,-6.2,4.682,2
Vina,A,crystal,20,32,3,-6.1,6.114,2
Vina,A,crystal,1,32,3,-7.6,4.778,3
Vina,A,crystal,2,32,3,-7.2,4.907,3
Vina,A,crystal,3,32,3,-7.2,5.923,3
Vina,A,crystal,4,32,3,-7.2,5.033,3
Vina,A,crystal,5,32,3,-7.2,5.019,3
Vina,A,crystal,6,32,3,-7.1,4.736,3
Vina,A,crystal,7,32,3,-7.1,6.748,3
Vina,A,crystal,8,32,3,-7.1,4.516,3
Vina,A,crystal,9,32,3,-7.0,5.848,3
Vina,A,crystal,10,32,3,-6.9,6.245,3
Vina,A,crystal,11,32,3,-6.9,4.860,3
Vina,A,crystal,12,32,3,-6.9,4.940,3
Vina,A,crystal,13,32,3,-6.9,4.688,3
Vina,A,crystal,14,32,3,-6.9,5.753,3
Vina,A,crystal,15,32,3,-6.8,4.617,3
Vina,A,crystal,16,32,3,-6.8,4.601,3
Vina,A,crystal,17,32,3,-6.8,4.661,3
Vina,A,crystal,18,32,3,-6.8,3.977,3
Vina,A,crystal,19,32,3,-6.8,5.724,3
Vina,A,crystal,20,32,3,-6.8,5.692,3
Vina,A,crystal,1,8,1,-6.9,5.883,1
Vina,A,crystal,2,8,1,-6.8,6.460,1
Vina,A,crystal,3,8,1,-6.6,5.367,1
